Source                          & alpha-avg            & avg-fth33             & fth33-fix               & Galaxy
 (1) [str]                      & (2) [dimmensionless] & (3) [dimmensionless]  & (4) [dimmensionless]    & (5) [str]
Mrk331 (CE-nuc-tot)             & $-0.70\pm 0.02$      & $0.25\pm 0.03$        & $0.06_{-0.02}^{+0.04}$  & Mrk331
Mrk331 (CE-nuc-cc)              & $-0.84\pm 0.06$      & $0.01\pm 0.10$        & $0.02_{-0.01}^{+0.02}$  & Mrk331
Mrk331 (CE-nuc-ne)              & $-0.38\pm 0.06$      & $0.69\pm 0.07$        & $0.52_{-0.06}^{+0.06}$  & Mrk331
NGC5256 (N-nuc-tot)             & $-0.94\pm 0.06$      & $0.17\pm 0.09$        & $0.02_{-0.02}^{+0.08}$  & NGC5256
NGC5256 (N-nuc-cc)              & $-0.86\pm 0.03$      & $0.18\pm 0.05$        & $0.00_{-0.00}^{+0.03}$  & NGC5256
NGC5256 (N-nuc-1-cc)            & ---                  & ---                   & ---                     & NGC5256
NGC5256 (N-nuc-2-cc)            & ---                  & ---                   & ---                     & NGC5256
NGC5256 (N-nuc-ne)              & $-0.97\pm 0.22$      & $0.17\pm 0.34$        & $0.00_{-0.00}^{+0.04}$  & NGC5256
NGC5256 (CE-nuc-tot)            & ---                  & ---                   & ---                     & NGC5256
NGC5256 (CE-nuc-cc)             & ---                  & ---                   & ---                     & NGC5256
NGC5256 (CE-nuc-ne)             & ---                  & ---                   & ---                     & NGC5256
NGC5256 (SWE-nuc-tot)           & $-0.73\pm 0.04$      & $0.24\pm 0.08$        & $0.40_{-0.12}^{+0.09}$  & NGC5256
NGC5256 (SWE-nuc-cc)            & $-0.73\pm 0.04$      & $0.24\pm 0.08$        & $0.40_{-0.12}^{+0.09}$  & NGC5256
NGC5256 (SWE-nuc-ne)            & ---                  & ---                   & ---                     & NGC5256
IIIZw035 (CE-nuc-tot)           & $-0.76\pm 0.11$      & $0.14\pm 0.08$        & $0.04_{-0.03}^{+0.09}$  & IIIZw035
IIIZw035 (CE-nuc-cc)            & $-0.50\pm 0.05$      & $0.65\pm 0.06$        & $0.64_{-0.06}^{+0.06}$  & IIIZw035
IIIZw035 (CE-nuc-ne)            & $-0.87\pm 0.05$      & $0.22\pm 0.09$        & $0.09_{-0.02}^{+0.04}$  & IIIZw035
IIIZw035 (CE-nuc-S-un)          & $-0.00\pm 0.11$      & $0.99$                & $0.99$                  & IIIZw035
IIIZw035 (C1-nuc-WE-un)         & $-0.16\pm 0.16$      & $0.99$                & $0.99$                  & IIIZw035
NGC7674 (CE-nuc-tot)            & $-1.15\pm 0.03$      & $0.12\pm 0.04$        & $0.01$                  & NGC7674
